"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.strique.io/careers/ai-apprentice-program","1","Six months, paid, outcome-oriented. Ship one product area end-to-end under a founder mentor. Full-time offer at the end if it works for both sides.","147","918","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","1","Onboard scale + enterprise customers, write integrations, unblock deals. Deep product + connector knowledge. Quota-adjacent.","124","806","Indexable",""
"https://www.strique.io/careers/revenue-marketer","1","Run paid, lifecycle, content, and community with Strique as your OS. Report to the founder. First marketing hire.","113","702","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","1","Own features end-to-end across our Next.js web app, agent runtime, and connector layer. TypeScript + Python + Postgres + Cloudflare.","132","851","Indexable",""
"https://www.strique.io/careers/product-designer","1","Design the chat interface, Canvas reports, skills surface, and brand system. Comfortable shipping in Figma + pairing on the implementation in code.","147","931","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","1","Build the runtime that powers the agent loop: tool dispatch, streaming, checkpointing, eval. Deep Python + LLM serving experience.","130","828","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","1","Tune the agent loop: prompt engineering, eval suite, RAG over Org context, multi-model routing. Publish internally, not externally.","131","810","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","1","Live and breathe the product against our own pipeline. Own paid, SEO, email, and content using Strique, and feed the roadmap with what's missing.","145","929","Indexable",""
"https://www.strique.io/solutions/local-services","1","Geo-targeted paid + local SEO + review ops for restaurants, clinics, gyms, and service businesses, an AI marketing agent that shows up every day.","145","919","Indexable",""
"https://www.strique.io/solutions/agencies","1","Multi-client AI marketing agent for agencies running paid, content, and lifecycle for 5 to 50 clients, each with its own isolated brand, memory, and skills.","156","950","Indexable",""
"https://www.strique.io/solutions/b2b-saas","1","Demand gen + pipeline operations for B2B SaaS teams: the AI marketing agent that runs paid social, content engine, ABM outreach, and lifecycle working together.","160","1030","Indexable",""
"https://www.strique.io/solutions/ecommerce","1","Full-stack AI marketing agent for DTC and e-commerce brands: paid, lifecycle, content, and merchandising copy, all running on one agent loop.","141","898","Indexable",""
"https://www.strique.io/contact?intent=sales","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/for/founders","1","You're the marketing hire you can't yet afford. Strique is the fractional AI marketing agent you run from Slack.","112","688","Indexable",""
"https://www.strique.io/for/cmos","1","You own the revenue number. Strique is how you hit it without growing headcount or vendor spend linearly.","105","676","Indexable",""
"https://www.strique.io/for/marketing-managers","1","You own the plan, not the production. Strique gives you the output of a 10-person team without the hiring plan.","111","696","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","1","A content-generation tool vs. an agent that ships content AND the campaigns around it.","86","554","Indexable",""
"https://www.strique.io/vs","1","How Strique compares to the tools you're evaluating. We're honest about where they're a better fit.","99","624","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","1","A retargeting network vs. an agent that runs your entire growth stack.","70","440","Indexable",""
"https://www.strique.io/contact?intent=demo","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-growth-engineer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=applied-ml-researcher","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=agent-infrastructure-engineer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=product-designer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=senior-full-stack-engineer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=revenue-marketer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-customer-engineer","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=ai-apprentice-program","1","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","Non-Indexable","Canonicalised"
