"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/collections/new-arrivals-2026/products/splash-mode-for-her-white-ocw-926-02","1","SPLASH MODE FOR HER - WHITE. Elevate your look with comfortable footwear & Sportswear Clothing. Free shipping and easy return.","126","843","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-clothing","1","Shop Women's Athleisure Apperal, T-Shirts, Tights, Sweatshirts and Casual Clothing designed for comfort, movement and style. Shop our latest collection at Off Limits.","166","1056","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","Every customer is valuable to us and for each valued customer, we have a privacy policy. Explore the privacy policy regarding our valuable customers.","149","943","Indexable",""
"https://offlimits.co.in/collections/women","1","Discover Women's Sports Shoes, Sneakers and Athleisure Collections crafted for fitness, comfort and everyday fashion. Shop now at Off Limits!","141","908","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Browse men's running shoes built for speed, comfort and endurance. Ideal for daily runs, training and active lifestyles. Shop now at Off Limits.","144","893","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/coast-big-tall-off-white-yellow-purple-ocm-878-02","1","COAST (BIG & TALL) - OFF WHITE/YELLOW/PURPLE. Elevate your look with comfortable footwear & Sportswear Clothing. Available with free shipping and easy return.","158","1053","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/women-bestsellers","1","Explore Bestselling Women's Shoes, Sneakers and Athleisure, loved for comfort, performance and everyday style. Shop the latest collection at Off Limits!","152","966","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026/products/roger-select-black-silver-ocm-915-08","1","ROGER SELECT - BLACK/SILVER. Elevate your look with comfortable footwear & Sportswear Clothing. Free shipping and easy return.","126","838","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/mens-bestsellers/products/baseline-23-milwaukee-bucks-beige-green-ocm-828-06","1","BASELINE 23 - MILWAUKEE BUCKS (BEIGE/GREEN). Elevate your look with comfortable footwear & Sportswear Clothing. Available with free shipping and easy return.","157","1047","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-gym-training","1","Shop Men's Gym Training Shoes engineered for workouts, strength training and all-round fitness performance. Perfect for work, travel, and everyday wear at Off Limits.","166","1056","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","Discover Women's Running and Gym Shoes designed for comfort, stability and performance during every workout. Shop now at Off Limits.","132","873","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers/products/unbound-teal-orm-855-06","1","UNBOUND - TEAL. Elevate your look with comfortable footwear & Sportswear Clothing. Available with free shipping and easy return.","128","833","Non-Indexable","Canonicalised"
"https://offlimits.co.in/pages/return-exchange","1","Learn about Off Limits return and exchange policies, eligibility criteria and simple steps for hassle-free returns. Find the perfect pair for work, travel, and weekends at Off Limits.","183","1107","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","Shop men's sports shoes at Off Limits built for running, training, gym workouts and active lifestyles with lasting comfort. Don't miss the latest styles.","153","934","Indexable",""
