keyword,intent,page_type,target_url,volume,difficulty,priority,source,status,notes
block heels for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 33100; competition HIGH 99; GSC 190 clicks and 92747 impressions; observed page https://inc5shop.com/collections/womens-heels
ladies shoes,informational,blog,https://inc5shop.com/blog,33100,HIGH 97,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 33100; competition HIGH 97; GSC 121 clicks and 22682 impressions; observed page https://inc5shop.com/collections/women-footwear
black shoes for women,informational,blog,https://inc5shop.com/blog,33100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 33100; competition HIGH 100
black heel shoes,informational,blog,https://inc5shop.com/blog,27100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 27100; competition HIGH 100
high heels for women,informational,blog,https://inc5shop.com/blog,22200,HIGH 98,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 22200; competition HIGH 98; GSC 732 clicks and 192415 impressions; observed page https://inc5shop.com/collections/womens-heels
white heels for women,informational,blog,https://inc5shop.com/blog,22200,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 22200; competition HIGH 100
platform heels for women,informational,blog,https://inc5shop.com/blog,18100,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition HIGH 99; GSC 1565 clicks and 211804 impressions; observed page https://inc5shop.com/collections/platform-heels
block heels,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition HIGH 95
block high heels,informational,blog,https://inc5shop.com/blog,18100,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition HIGH 95
pencil heels for women,informational,blog,https://inc5shop.com/blog,18100,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 18100; competition HIGH 98
transparent heels,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 100; GSC 824 clicks and 160407 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
flat slippers for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 99; GSC 357 clicks and 98982 impressions; observed page https://inc5shop.com/collections/womens-flats
heel shoes for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 98,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 98; GSC 129 clicks and 68511 impressions; observed page https://inc5shop.com/collections/womens-heels
party wear sandals for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 99; GSC 363 clicks and 53172 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded shoes for women,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 100
heels transparent,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 100
ladies formal shoes,informational,blog,https://inc5shop.com/blog,14800,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 100
pencil heels,informational,blog,https://inc5shop.com/blog,14800,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 14800; competition HIGH 95
transparent heels for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 100; GSC 770 clicks and 140344 impressions; observed page https://inc5shop.com/collections/transparent-heel-for-women
belly shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 96
brand shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 97
bridal sandals,informational,blog,https://inc5shop.com/blog,12100,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 98
heel sandals,informational,blog,https://inc5shop.com/blog,12100,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 97
heel slippers for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 99
ladies casual shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 100
mochi sandals for women,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 100
shoes bride,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 100
women casual shoes,informational,blog,https://inc5shop.com/blog,12100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 12100; competition HIGH 100
inc 5 shoes,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 99; GSC 6151 clicks and 287893 impressions; observed page https://inc5shop.com/
inc 5 footwear,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 99; GSC 1771 clicks and 104787 impressions; observed page https://inc5shop.com/
inc 5 sandals,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 99; GSC 629 clicks and 37462 impressions; observed page https://inc5shop.com/collections/womens-sandals
best formal shoes for men,commercial,comparison,https://inc5shop.com/vs,9900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 100
golden heels,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 100
mochi shoes for men,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 100
mochi women footwear,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 99
shoes for men near me,informational,blog,https://inc5shop.com/blog,9900,LOW 33,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition LOW 33
wedding shoes for women,informational,blog,https://inc5shop.com/blog,9900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 100
women belly shoes,informational,blog,https://inc5shop.com/blog,9900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 9900; competition HIGH 99
formal footwear for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 100; GSC 177 clicks and 53308 impressions; observed page https://inc5shop.com/collections/women-footwear
ladies footwear,informational,blog,https://inc5shop.com/blog,8100,HIGH 94,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 94; GSC 353 clicks and 49269 impressions; observed page https://inc5shop.com/collections/women-footwear
black formal shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 100
flat heels for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 98
golden heels for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 100
high heel shoes for ladies,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 95
high heel shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 95
metro sandals for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 100
metro shoes for women,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 99
pointed heels,informational,blog,https://inc5shop.com/blog,8100,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 99
sandals shop near me,informational,blog,https://inc5shop.com/blog,8100,LOW 26,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition LOW 26
shoes for women under 500,informational,blog,https://inc5shop.com/blog,8100,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 8100; competition HIGH 98
inch 5 heels,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 96; GSC 1136 clicks and 48819 impressions; observed page https://inc5shop.com/collections/womens-heels
5 inch heels,informational,blog,https://inc5shop.com/blog,6600,HIGH 96,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 96; GSC 224 clicks and 31876 impressions; observed page https://inc5shop.com/collections/womens-heels
formal heels for women,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 99; GSC 119 clicks and 31123 impressions; observed page https://inc5shop.com/collections/womens-heels
cai footwear,informational,blog,https://inc5shop.com/blog,6600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 100
cut shoes for women,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 97
fashionable shoes,informational,blog,https://inc5shop.com/blog,6600,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 97
flat shoes for ladies,informational,blog,https://inc5shop.com/blog,6600,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 6600; competition HIGH 99
inc 5 heels,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100; GSC 3979 clicks and 206762 impressions; observed page https://inc5shop.com/collections/womens-heels
comfortable heels for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100; GSC 305 clicks and 48545 impressions; observed page https://inc5shop.com/collections/womens-heels
best ladies shoes,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
best shoes for women,commercial,comparison,https://inc5shop.com/vs,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
catwalk heels,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 98
catwalk sandals,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 98
catwalk shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 98
comfort shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
good shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
ladies comfort shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
ladies office shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
mochi shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 97
office shoes women,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
party wear shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 98
rainy shoes for women,informational,blog,https://inc5shop.com/blog,5400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 98
shoe sale,informational,blog,https://inc5shop.com/blog,5400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 100
studded shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 94,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 94
stylish shoes,informational,blog,https://inc5shop.com/blog,5400,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 5400; competition HIGH 95
casual flats for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 98; GSC 151 clicks and 46887 impressions; observed page https://inc5shop.com/collections/womens-flats
branded sandals for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 100; GSC 254 clicks and 23100 impressions; observed page https://inc5shop.com/collections/womens-sandals
branded heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 94,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 94
casual footwear for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 98
comfort shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 99
expensive heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 87,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 87
heels 3 inch,informational,blog,https://inc5shop.com/blog,4400,HIGH 92,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 92
heels beige,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 100
heels wedding,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 100
high heel sandals for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 96
jute shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 98
leather shoes for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 100
shoes flat,informational,blog,https://inc5shop.com/blog,4400,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 96
slippers with heels,informational,blog,https://inc5shop.com/blog,4400,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 99
stylish shoes for women,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 97
stylish women's shoes,informational,blog,https://inc5shop.com/blog,4400,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 4400; competition HIGH 97
ethnic footwear for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100; GSC 442 clicks and 32702 impressions; observed page https://inc5shop.com/collections/ethnic-footwear
black block heel shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100
black block heels for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100
block heels black,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100
brown shoes for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100
catwalk footwear,informational,blog,https://inc5shop.com/blog,3600,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 97
low heel sandals for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 95
metro heels,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 99
metro shoes for men,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 99
metro women footwear,informational,blog,https://inc5shop.com/blog,3600,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 99
platform shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 90,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 90
red ladies shoes,informational,blog,https://inc5shop.com/blog,3600,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 100
shoes slippers,informational,blog,https://inc5shop.com/blog,3600,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 95
trendy shoes for women,informational,blog,https://inc5shop.com/blog,3600,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 3600; competition HIGH 98
party wear heels,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 100; GSC 98 clicks and 15541 impressions; observed page https://inc5shop.com/collections/womens-heels
best brand shoes for women,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 100
black heels sandals,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 98
block heel shoes for ladies,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 99
comfortable formal shoes for ladies,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 99
fancy shoes for women,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 98
fashion shoes for men,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 95
flat heels,informational,blog,https://inc5shop.com/blog,2900,HIGH 95,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 95
flat slippers,informational,blog,https://inc5shop.com/blog,2900,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 98
heel stores near me,informational,blog,https://inc5shop.com/blog,2900,MEDIUM 49,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition MEDIUM 49
ladies leather shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 100
party shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 97
shoes online for men,informational,blog,https://inc5shop.com/blog,2900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 100
top brand shoes for men,commercial,comparison,https://inc5shop.com/vs,2900,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 100
trending shoes for women,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 99
womens block heel shoes,informational,blog,https://inc5shop.com/blog,2900,HIGH 99,high,Google Ads Keyword Planner via Composio,new,GKP volume 2900; competition HIGH 99
comfortable heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Search Console via Composio + Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100; GSC 60 clicks and 12637 impressions; observed page https://inc5shop.com/collections/womens-heels
beige shoes women,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100
black and red heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 93,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 93
branded formal shoes for men,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100
comfortable footwear for ladies,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 97
comfortable heeled shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100
fashion shoes for women,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 96
female shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 98
formal heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100
heels black,informational,blog,https://inc5shop.com/blog,2400,HIGH 97,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 97
high heel shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 92,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 92
hill shoes,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 96
ladies heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 96,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 96
platform high heels for women,informational,blog,https://inc5shop.com/blog,2400,HIGH 98,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 98
sandals for women black,informational,blog,https://inc5shop.com/blog,2400,HIGH 100,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 100
shoes heels,informational,blog,https://inc5shop.com/blog,2400,HIGH 94,high,Google Ads Keyword Planner via Composio,new,GKP volume 2400; competition HIGH 94
